drug1,drug2,label
amlodipine besylate amlodipine besylate amlodipine besylate amlodipine and benazepril hydrochloride amlodipine and olmesartan medoxomil,theophylline anhydrous theophylline theophylline theophylline theophylline,0
fluoxetine hydrochloride fluoxetine hydrochloride fluoxetine hcl fluoxetine fluoxetine hydrochloride,imatinib mesylate imatinib mesylate imatinib imatinib mesylate imatinib oral,1
"clarithromycin clarithromycin clarithromycin vonoprazan fumarate and amoxicillin, vonoprazan fumarate, amoxicillin and clarithromycin clarithromycin",deflazacort deflazacort deflazacort oral deflazacort deflazacort,1
tapentadol hydrochloride tapentadol hydrochloride tapentadol hydrochloride,fexofenadine hcl fexofenadine hcl fexofenadine hydrochloride and pseudoephedrine hydrochloride fexofenadine hydrochloride fexofenadine hydrochloride 180 mg,1
remdesivir,tiotropium bromide and olodaterol olodaterol respimat inhalation spray,0
vinblastine sulfate,morphine sulfate morphine sulfate morphine sulfate morphine sulfate morphine sulfate,1
amoxicillin and clavulanate potassium amoxicillin amoxicillin amoxicillin and clavulanate potassium amoxicillin and clavulanate potassium,deflazacort deflazacort deflazacort oral deflazacort deflazacort,1
cefepime cefepime hydrochloride cefepime cefepime cefepime hydrochloride,"testosterone testosterone cypionate petroselinum sativum, populus tremuloides, sabal serrulata, chimaphila umbellata, adenosinum triphosphoricum dinatrum, equol, kreosotum, nadidum, testosterone, prostate (suis), succinicum acidum, hepar sulphuris calcareum, conium maculatum, proteus (mirabilis), proteus (vulgaris) testosterone aconiticum acidum, cis-, apis venenum purum, aquilegia vulgaris, bovista, cypripedium pubescens, estradiol, faecalis (alkaligenes), folliculinum, funiculus umbilicalis suis, glandula suprarenalis suis, heart (suis), hydrastis canadensis, hypophysis suis, kreosotum, lachesis mutus, lilium tigrinum, magnesia phosphorica, mercurius solubilis, mutabile bacillus (bach), oophorinum (suis), petroselinum sativum, pineal gland (suis), placenta totalis suis, progesterone, sepia, testosterone, uterus (suis)",0
oxycodone hydrochloride oxycodone and acetaminophen oxycodone and acetaminophen oxycodone and acetaminophen oxycodone hydrochloride,azithromycin azithromycin azithromycin azithromycin monohydrate azithromycin dihydrate,0
"moxifloxacin hydrochloride moxifloxacin hydrochloride tablets, 400 mg moxifloxacin ophthalmic solution moxifloxacin hydrochloride moxifloxacin",sitagliptin and metformin hydrochloride metformin hydrochloride metformin hydrochloride glipizide and metformin hydrochloride metformin hydrochloride,1
ivabradine ivabradine ivabradine ivabradine ivabradine,ticagrelor ticagrelor ticagrelor ticagrelor ticagrelor,0
piroxicam piroxicam piroxicam piroxicam piroxicam,losartan potassium losartan potassium and hydrochlorothiazide losartan potassium losartan potassium and hydrochlorothiazide losartan potassium,0
ramipril ramipril ramipril ramipril ramipril,sodium iodide i-131 sodium iodide i 131 sodium iodide i 131,1
warfarin sodium warfarin sodium warfarin sodium warfarin sodium warfarin sodium,tamoxifen citrate tamoxifen citrate tamoxifen citrate tamoxifen citrate tamoxifen citrate,0
sulfamethoxazole and trimethoprim sulfamethoxazole and trimethoprim sulfamethoxazole and trimethoprim sulfamethoxazole and trimethoprim sulfamethoxazole and trimethoprim,canagliflozin canagliflozin canagliflozin and metformin hydrochloride canagliflozin canagliflozin,1
darunavir darunavir ethanolate and cobicistat darunavir darunavir darunavir,betamethasone dipropionate betamethasone sodium phosphate and betamethasone acetate betamethasone dipropionate betamethasone valerate betamethasone valerate,1
propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride,sitagliptin and metformin hydrochloride metformin hydrochloride metformin hydrochloride glipizide and metformin hydrochloride metformin hydrochloride,1
amiloride hydrochloride amiloride hydrochloride amiloride - apis mellifera - berberis vulgaris fruit - hieracium pilosella flowering top - hydrochlorothiazide - solidago virgaurea flowering top - spironolactone - sus scrofa pituitary gland - amiloride hydrochloride and hydrochlorothiazide amiloride hydrochloride,fluocinolone acetonide fluocinolone acetonide fluocinolone acetonide neomycin sulfate and fluocinolone acetonide fluocinolone acetonide,0
sacubitril and valsartan valsartan valsartan valsartan valsartan and hydrochlorothiazide,escitalopram oral escitalopram escitalopram escitalopram oxalate escitalopram oxalate,1
celecoxib celecoxib celecoxib celecoxib celecoxib,budesonide budesonide budesonide and formoterol fumarate dihydrate budesonide budesonide,0
lisinopril and hydrochlorothiazide tablets lisinopril and hydrochlorothiazide lisinopril and hydrochlorothiazide lisinopril lisinopril,hydralazine hydrochloride hydralazine hydrochloride hydralazine hydrochloride hydralazine hydrochloride hydralazine hydrochloride,0
clopidogrel bisulfate clopidogrel clopidogrel bisulfate clopidogrel clopidogrel,letrozole letrozole letrozole letrozole letrozole tablets,1
montelukast sodium montelukast sodium montelukast sodium montelukast sodium montelukast sodium,sodium iodide i-131 sodium iodide i 131 sodium iodide i 131,1
phenytoin sodium phenytoin phenytoin phenytoin phenytoin sodium,"aconitum napellus, argentum nitricum, arnica montana, arsenicum album, astragalus membranaceus, baptisia tinctoria, bryonia (alba), calendula officinalis, cortisone aceticum, echinacea (angustifolia), eupatorium perfoliatum, euphorbium officinarum, gelsemium sempervirens, hepar sulphuris calcareum, influenzinum (2023-2024), lachesis mutus, mercurius corrosivus, phosphorus, phytolacca decandra, pulsatilla (pratensis), pyrogenium, rhus tox, sanguinaria canadensis, spleen (suis), sulphur, thuja occidentalis, arnica montana, belladonna, cortisone aceticum, hypericum perforatum, symphytum officinale acetaldehyde, dopamine hydrochloride, dhea (dehydroepiandrosterone), 7-oxo- dehydroepiandrosterone 3-acetate, folliculinum, oophorinum (suis), cholesterinum, progesterone, testosterone, cortisone aceticum, aldosterone, androsterone, follicle stimulating hormone sarcolacticum acidum, viscum album, iodium, fucus vesiculosus, galium aparine, natrum oxalaceticum, thyroidinum (suis), dhea (dehydroepiandrosterone), phenyl isothiocyanate, tyramine, adenosinum triphosphoricum dinatrum, alpha-ketoglutaricum acidum, fumaricum acidum, malicum acid, colchicum autumnale, conium maculatum, funiculus umbilicalis suis, hepar suis, medulla ossis suis, pineal gland (suis), spleen (suis), thymus (suis), calcarea fluorica, pulsatilla (pratensis), spongia tosta, cortisone aceticum, caltha palustris, clematis erecta, galium aparine, hedera helix, juniperus communis, sedum acre, sempervivum tectorum, thuja occidentalis, urtica urens, echinacea (angustifolia), argentum metallicum, calcarea fluorica, nitricum acidum, phosphorus, cortisone aceticum, aurum metallicum, apis mellifica, ononis spinosa, gaertner bacillus (bach)",1
dulaglutide dulaglutide dulaglutide dulaglutide dulaglutide,atorvastatin calcium atorvastatin film coated atorvastatin calcium amlodipine and atorvastatin atorvastatin calcium,0
cefepime cefepime hydrochloride cefepime cefepime cefepime hydrochloride,imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride,1
ketorolac tromethamine ketorolac tromethamine ketorolac tromethamine ketorolac tromethamine ketorolac tromethamine,ofloxacin otic ofloxacin ofloxacin ofloxacin ofloxacin,0
nystatin nystatin nystatin nystatin nystatin,medroxyprogesterone acetate medroxyprogesterone acetate medroxyprogesterone acetate medroxyprogesterone acetate medroxyprogesterone acetate,0
insulin lispro insulin lispro insulin lispro insulin lispro insulin lispro-aabc,"insulin aspart insulin aspart insulin aspart insulin aspart water injection, insulin aspart",1
piroxicam piroxicam piroxicam piroxicam piroxicam,clonazepam clonazepam clonazepam clonazepam clonazepam,0
lopinavir and ritonavir lopinavir and ritonavir lopinavir and ritonavir lopinavir and ritonavir,beclomethasone dipropionate hfa beclomethasone dipropionate beclomethasone dipropionate hfa beclomethasone dipropionate hfa beclomethasone dipropionate hfa,1
granisetron hydrochloride granisetron hydrochloride granisetron granisetron hydrochloride granisetron hydrochloride,riociguat,0
desvenlafaxine succinate desvenlafaxine er desvenlafaxine desvenlafaxine succinate desvenlafaxine,letrozole letrozole letrozole letrozole letrozole tablets,1
clindamycin phosphate clindamycin phosphate clindamycin phosphate clindamycin hydrochloride clindamycin palmitate hydrochloride,pioglitazone hydrochloride pioglitazone hydrochloride pioglitazone pioglitazone pioglitazone,1
paroxetine paroxetine paroxetine hydrochloride paroxetine hydrochloride paroxetine,paclitaxel paclitaxel paclitaxel paclitaxel protein-bound particles paclitaxel,1
micafungin micafungin micafungin micafungin sodium micafungin sodium,lopinavir and ritonavir lopinavir and ritonavir lopinavir and ritonavir lopinavir and ritonavir,1
lisinopril and hydrochlorothiazide tablets lisinopril and hydrochlorothiazide lisinopril and hydrochlorothiazide lisinopril lisinopril,medroxyprogesterone acetate medroxyprogesterone acetate medroxyprogesterone acetate medroxyprogesterone acetate medroxyprogesterone acetate,0
heparin sodium heparin sodium heparin sodium heparin sodium taurolidine and heparin,rivaroxaban rivaroxaban rivaroxaban rivaroxaban rivaroxaban,1
insulin lispro insulin-like growth factor-1 insulin glargine insulin lispro insulin aspart,insulin lispro insulin lispro insulin lispro insulin lispro insulin lispro-aabc,1
sulindac sulindac sulindac sulindac sulindac,pantoprazole sodium pantoprazole sodium injection pantoprazole sodium pantoprazole sodium delayed-release pantoprazole sodium dr,0
"tetracycline hydrochloride tetracycline hydrochloride adenosinum triphosphoricum dinatrum, l-asparagine (monohydrate), l-phenylalanine, quercetin, ileum (suis), jejunum (suis), stomach (suis), ascorbicum acidum, calcarea carbonica, ferrum iodatum, tetracycline, egg (hen whole), proteus (morgani) tetracycline hydrochloride tetracycline hydrochloride",clopidogrel bisulfate clopidogrel clopidogrel bisulfate clopidogrel clopidogrel,0
propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride,glipizide glipizide glipizide glipizide glipizide and metformin hydrochloride,1
azithromycin azithromycin azithromycin azithromycin monohydrate azithromycin dihydrate,dulaglutide dulaglutide dulaglutide dulaglutide dulaglutide,0
granisetron hydrochloride granisetron hydrochloride granisetron granisetron hydrochloride granisetron hydrochloride,medroxyprogesterone acetate medroxyprogesterone acetate medroxyprogesterone acetate medroxyprogesterone acetate medroxyprogesterone acetate,0
"umeclidinium bromide and vilanterol trifenatate fluticasone furoate and vilanterol umeclidinium bromide and vilanterol trifenatate fluticasone furoate and vilanterol trifenatate fluticasone furoate, umeclidinium bromide and vilanterol trifenatate",colchicine colchicine colchicine colchicine colchicine,0
tolmetin sodium tolmetin sodium tolmetin sodium tolmetin sodium tolmetin sodium,olanzapine olanzapine olanzapine olanzapine olanzapine,0
cimetidine cimetidine cimetidine cimetidine cimetidine,darunavir darunavir ethanolate and cobicistat darunavir darunavir darunavir,0
fluconazole fluconazole fluconazole fluconazole fluconazole,tadalafil tadalafil tadalafil tadalafil tadalafil,0
cefixime cefixime cefixime cefixime cefixime,escitalopram oral escitalopram escitalopram escitalopram oxalate escitalopram oxalate,0
paliperidone paliperidone paliperidone paliperidone paliperidone palmitate,"testosterone testosterone cypionate petroselinum sativum, populus tremuloides, sabal serrulata, chimaphila umbellata, adenosinum triphosphoricum dinatrum, equol, kreosotum, nadidum, testosterone, prostate (suis), succinicum acidum, hepar sulphuris calcareum, conium maculatum, proteus (mirabilis), proteus (vulgaris) testosterone aconiticum acidum, cis-, apis venenum purum, aquilegia vulgaris, bovista, cypripedium pubescens, estradiol, faecalis (alkaligenes), folliculinum, funiculus umbilicalis suis, glandula suprarenalis suis, heart (suis), hydrastis canadensis, hypophysis suis, kreosotum, lachesis mutus, lilium tigrinum, magnesia phosphorica, mercurius solubilis, mutabile bacillus (bach), oophorinum (suis), petroselinum sativum, pineal gland (suis), placenta totalis suis, progesterone, sepia, testosterone, uterus (suis)",1
ivabradine ivabradine ivabradine ivabradine ivabradine,medroxyprogesterone acetate medroxyprogesterone acetate medroxyprogesterone acetate medroxyprogesterone acetate medroxyprogesterone acetate,0
ofloxacin otic ofloxacin ofloxacin ofloxacin ofloxacin,famotidine famotidine famotidine ibuprofen and famotidine famotidine,0
minocycline hydrochloride minocycline hydrochloride minocycline hydrochloride extended-release minocycline hydrochloride minocycline hydrochloride,loperamide hcl loperamide hydrochloride and simethicone loperamide hydrochloride loperamide hydrochloride loperamide hydrochloride,1
clonidine hydrochloride clonidine hydrochloride clonidine hydrochloride clonidine hydrochloride clonidine hydrochloride,zafirlukast zafirlukast zafirlukast zafirlukast zafirlukast,0
enoxaparin sodium enoxaparin sodium enoxaparin sodium enoxaparin sodium enoxaparin sodium,terbutaline sulfate terbutaline sulfate terbutaline sulfate terbutaline sulfate terbutaline sulfate,0
caspofungin acetate caspofungin acetate caspofungin acetate caspofungin acetate caspofungin acetate,"hydrocortisone ps-2896 hydrocortisone cream 1%, 0.9g hydrocortisone acetate hydrocortisone hydrocortisone",1
glipizide glipizide glipizide glipizide glipizide and metformin hydrochloride,imatinib mesylate imatinib mesylate imatinib imatinib mesylate imatinib oral,1
mefenamic acid mefenamic acid mefenamic acid mefenamic acid mefenamic acid,cyclosporine ophthalmic solution cyclosporine cyclosporine cyclosporine cyclosporine,1
lovastatin lovastatin lovastatin lovastatin lovastatin,clozapine clozapine clozapine clozapine clozapine,0
"linagliptin and metformin hydrochloride linagliptin and metformin hydrochloride empagliflozin, linagliptin, metformin hydrochloride linagliptin linagliptin","1,4-benzoquinone - arnica montana - oxytocin - barium carbonate - barium oxalosuccinate - corticotropin - lead - levothyroxine - lutrelin - malic acid - melatonin - neurotrophin-3 - neurotrophin-4 - phenylalanine - pork liver - pyruvic acid - rinfabate - sus scrofa adrenal gland - sus scrofa frontal lobe - sus scrofa hypothalamus - thyrotropin alfa - brain-derived neurotrophic factor human - betaine - bufo bufo cutaneous gland - calcium carbonate - chromic sulfate - cicuta virosa root - copper - folic acid - gold - cobalamin - iron - lachesis muta venom - melatonin - molybdenum - neurotrophin-3 - neurotrophin-4 - oxytocin - silicon dioxide - sus scrofa frontal lobe - sus scrofa temporal lobe - thyrotropin alfa - ubidecarenone - vanadium - zinc - brain-derived neurotrophic factor human - thyrotropin alfa",1
tramadol hydrochloride tramadol hydrochloride tramadol hydrochloride tramadol hydrochloride tramadol hydrochloride,tiotropium bromide and olodaterol tiotropium bromide tiotropium bromide inhalation spray tiotropium bromide tiotropium bromide,1
minocycline hydrochloride minocycline hydrochloride minocycline hydrochloride extended-release minocycline hydrochloride minocycline hydrochloride,clindamycin phosphate clindamycin phosphate clindamycin phosphate clindamycin hydrochloride clindamycin palmitate hydrochloride,1
amlodipine besylate amlodipine besylate amlodipine besylate amlodipine and benazepril hydrochloride amlodipine and olmesartan medoxomil,bupropion hydrochloride bupropion hydrochloride bupropion hydrochloride bupropion hydrochloride bupropion hydrochloride,1
risperidone risperidone risperidone risperidone risperidone,tiotropium bromide and olodaterol olodaterol respimat inhalation spray,0
"furosemide furosemide furosemide, benzalkonium chloride furosemide furosemide","1,4-benzoquinone - arnica montana - oxytocin - barium carbonate - barium oxalosuccinate - corticotropin - lead - levothyroxine - lutrelin - malic acid - melatonin - neurotrophin-3 - neurotrophin-4 - phenylalanine - pork liver - pyruvic acid - rinfabate - sus scrofa adrenal gland - sus scrofa frontal lobe - sus scrofa hypothalamus - thyrotropin alfa - brain-derived neurotrophic factor human - betaine - bufo bufo cutaneous gland - calcium carbonate - chromic sulfate - cicuta virosa root - copper - folic acid - gold - cobalamin - iron - lachesis muta venom - melatonin - molybdenum - neurotrophin-3 - neurotrophin-4 - oxytocin - silicon dioxide - sus scrofa frontal lobe - sus scrofa temporal lobe - thyrotropin alfa - ubidecarenone - vanadium - zinc - brain-derived neurotrophic factor human - thyrotropin alfa",1
ceftriaxone sodium ceftriaxone sodium ceftriaxone sodium ceftriaxone sodium ceftriaxone,ipratropium bromide ipratropium bromide and albuterol sulfate ipratropium bromide ipratropium bromide ipratropium bromide and albuterol sulfate,0
famotidine famotidine famotidine ibuprofen and famotidine famotidine,tiotropium bromide and olodaterol tiotropium bromide tiotropium bromide inhalation spray tiotropium bromide tiotropium bromide,0
lisinopril and hydrochlorothiazide tablets lisinopril and hydrochlorothiazide lisinopril and hydrochlorothiazide lisinopril lisinopril,insulin glargine insulin glargine-yfgn insulin glargine insulin glargine insulin glargine-yfgn,1
insulin lispro insulin lispro insulin lispro insulin lispro insulin lispro-aabc,ethosuximide ethosuximide ethosuximide ethosuximide ethosuximide,0
amiloride hydrochloride amiloride hydrochloride amiloride - apis mellifera - berberis vulgaris fruit - hieracium pilosella flowering top - hydrochlorothiazide - solidago virgaurea flowering top - spironolactone - sus scrofa pituitary gland - amiloride hydrochloride and hydrochlorothiazide amiloride hydrochloride,cetirizine hydrochloride cetirizine hydrochloride cetirizine hcl cetirizine hcl cetirizine hydrochloride,1
lisinopril and hydrochlorothiazide tablets lisinopril and hydrochlorothiazide olmesartan medoxomil-hydrochlorothiazide lisinopril and hydrochlorothiazide hydrochlorothiazide,ondansetron hydrochloride ondansetron hydrochloride ondansetron ondansetron hydrochloride ondansetron,1
mefenamic acid mefenamic acid mefenamic acid mefenamic acid mefenamic acid,bupropion hydrochloride bupropion hydrochloride bupropion hydrochloride bupropion hydrochloride bupropion hydrochloride,0
cefepime cefepime hydrochloride cefepime cefepime cefepime hydrochloride,lorazepam lorazepam lorazepam lorazepam lorazepam,0
nifedipine nifedipine nifedipine nifedipine nifedipine,esomeprazole magnesium esomeprazole magnesium esomeprazole magnesium esomeprazole magnesium esomeprazole magnesium,0
insulin lispro insulin lispro insulin lispro insulin lispro insulin lispro-aabc,methimazole methimazole methimazole methimazole methimazole,0
ivabradine ivabradine ivabradine ivabradine ivabradine,itraconazole itraconazole itraconazole itraconazole itraconazole,1
verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride,insulin glargine insulin glargine-yfgn insulin glargine insulin glargine insulin glargine-yfgn,0
prasugrel prasugrel prasugrel prasugrel prasugrel,cetirizine hydrochloride cetirizine hydrochloride cetirizine hcl cetirizine hcl cetirizine hydrochloride,1
telmisartan telmisartan and hydrochlorothiazide telmisartan and amlodipine telmisartan and hydrochlorothiazide telmisartan and hydrochlorothiazide,tacrolimus extended-release capsules tacrolimus tacrolimus tacrolimus tacrolimus,1
losartan potassium losartan potassium and hydrochlorothiazide losartan potassium losartan potassium and hydrochlorothiazide losartan potassium,aripiprazole aripiprazole oral aripiprazole aripiprazole aripiprazole,1
metronidazole metronidazole topical metronidazole metronidazole metronidazole,"diphenhydramine hcl acetaminophen, diphenhydramine hydrochloride, and phenylephrine hydrochloride diphenhydramine hydrochloride diphenhydramine hcl acetaminophen 500mg/ diphenhydramine hcl 25mg",0
fluvastatin fluvastatin sodium fluvastatin fluvastatin sodium fluvastatin sodium,"desonide desonide desonide desonide desonide ointment, 0.05%",0
hydromorphone hydrochloride hydromorphone hydrochloride hydromorphone hydrochloride hydromorphone hydrochloride hydromorphone hydrochloride,fluocinolone acetonide fluocinolone acetonide fluocinolone acetonide neomycin sulfate and fluocinolone acetonide fluocinolone acetonide,0
ertapenem sodium ertapenem ertapenem ertapenem ertapenem,dupilumab,0
metronidazole metronidazole topical metronidazole metronidazole metronidazole,ezetimibe and simvastatin ezetimibe and simvastatin ezetimibe ezetimibe ezetimibe,0
"clarithromycin clarithromycin clarithromycin vonoprazan fumarate and amoxicillin, vonoprazan fumarate, amoxicillin and clarithromycin clarithromycin",azathioprine azathioprine azathioprine azathioprine azathioprine,0
irbesartan irbesartan irbesartan irbesartan irbesartan and hydrochlorothiazide,carbamazepine carbamazepine carbamazepine carbamazepine carbamazepine,1
verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride,atenolol atenolol atenolol atenolol and chlorthalidone atenolol,1
terbutaline sulfate terbutaline sulfate terbutaline sulfate terbutaline sulfate terbutaline sulfate,danazol danazol danazol danazol,0
indapamide indapamide indapamide indapamide indapamide,dapagliflozin and saxagliptin saxagliptin and metformin hydrochloride saxagliptin saxagliptin saxagliptin and metformin,0
metoclopramide metoclopramide metoclopramide metoclopramide metoclopramide,nortriptyline hydrochloride nortriptyline hydrochloride nortriptyline hydrochloride nortriptyline hcl nortriptyline hcl,1
"diclofenac sodium diclofenac sodium diclofenac sodium diclofenac sodium topical gel, 1% diclofenac sodium",escitalopram oral escitalopram escitalopram escitalopram oxalate escitalopram oxalate,1
dapagliflozin and saxagliptin saxagliptin and metformin hydrochloride saxagliptin saxagliptin saxagliptin and metformin,dapagliflozin dapagliflozin dapagliflozin dapagliflozin and saxagliptin dapagliflozin,1
warfarin sodium warfarin sodium warfarin sodium warfarin sodium warfarin sodium,lopinavir and ritonavir lopinavir and ritonavir lopinavir and ritonavir lopinavir and ritonavir,1
ibuprofen ibuprofen ibuprofen ibuprofen ibuprofen,levonorgestrel and ethinyl estradiol norgestimate and ethinyl estradiol estradiol estradiol estradiol,0
linezolid linezolid linezolid linezolid linezolid,"levothyroxine sodium levothyroxine sodium levothyroxine sodium 1,4-benzoquinone - arnica montana - oxytocin - barium carbonate - barium oxalosuccinate - corticotropin - lead - levothyroxine - lutrelin - malic acid - melatonin - neurotrophin-3 - neurotrophin-4 - phenylalanine - pork liver - pyruvic acid - rinfabate - sus scrofa adrenal gland - sus scrofa frontal lobe - sus scrofa hypothalamus - thyrotropin alfa - brain-derived neurotrophic factor human - levothyroxine sodium",1
amitriptyline hydrochloride amitriptyline hydrochloride amitriptyline hydrochloride amitriptyline hydrochloride amitriptyline hydrochloride,"potassium iodide potassium iodide sodium ascorbate, cholecalciferol, di-alpha-tocopheryl acetate, thiamine mononitrate, riboflavin, niacinamide, pyridoxine hcl, folic acid, cyanocobalamin, calcium formate, calcium carbonate, ferrous (ii) bis-glycinate chelate, potassium iodide, zinc oxide, choline bitartrate, with doconexent and icosapent potassium iodide bm potassium iodide (kali iod)",1
cefepime cefepime hydrochloride cefepime cefepime cefepime hydrochloride,sitagliptin and metformin hydrochloride metformin hydrochloride metformin hydrochloride glipizide and metformin hydrochloride metformin hydrochloride,1
hydromorphone hydrochloride hydromorphone hydrochloride hydromorphone hydrochloride hydromorphone hydrochloride hydromorphone hydrochloride,deflazacort deflazacort deflazacort oral deflazacort deflazacort,1
clopidogrel bisulfate clopidogrel clopidogrel bisulfate clopidogrel clopidogrel,"potassium iodide potassium iodide sodium ascorbate, cholecalciferol, di-alpha-tocopheryl acetate, thiamine mononitrate, riboflavin, niacinamide, pyridoxine hcl, folic acid, cyanocobalamin, calcium formate, calcium carbonate, ferrous (ii) bis-glycinate chelate, potassium iodide, zinc oxide, choline bitartrate, with doconexent and icosapent potassium iodide bm potassium iodide (kali iod)",1
lopinavir and ritonavir ritonavir ritonavir ritonavir ritonavir,deflazacort deflazacort deflazacort oral deflazacort deflazacort,1
venlafaxine venlafaxine hydrochloride venlafaxine venlafaxine hydrochloride venlafaxine hydrochloride,"dextromethorphan hbr, guaifenesin guaifenesin acetaminophen, dextromethorphan hydrobromide, guaifenesin, phenylephrine hydrochloride guaifenesin and pseudoephedrine hcl guaifenesin",1
ondansetron hydrochloride ondansetron hydrochloride ondansetron ondansetron hydrochloride ondansetron,sertraline hydrochloride sertraline hydrochloride sertraline hydrochloride sertraline hydrochloride sertraline,1
erythromycin erythromycin erythromycin ethylsuccinate erythromycin erythromycin,pitavastatin calcium pitavastatin pitavastatin calcium pitavastatin calcium pitavastatin calcium,1
oral semaglutide semaglutide semaglutide semaglutide semaglutide,ipratropium bromide ipratropium bromide and albuterol sulfate ipratropium bromide ipratropium bromide ipratropium bromide and albuterol sulfate,0
buspirone hydrochloride buspirone hydrochloride buspirone hydrochloride buspirone hydrochloride buspirone hydrochloride,tiotropium bromide and olodaterol olodaterol respimat inhalation spray,1
digoxin digoxin digoxin digoxin digoxin,nystatin nystatin nystatin nystatin nystatin,0
venlafaxine venlafaxine hydrochloride venlafaxine venlafaxine hydrochloride venlafaxine hydrochloride,"diphenhydramine hcl acetaminophen, diphenhydramine hydrochloride, and phenylephrine hydrochloride diphenhydramine hydrochloride diphenhydramine hcl acetaminophen 500mg/ diphenhydramine hcl 25mg",1
fluvastatin fluvastatin sodium fluvastatin fluvastatin sodium fluvastatin sodium,sulfasalazine sulfasalazine sulfasalazine sulfasalazine sulfasalazine,0
nifedipine nifedipine nifedipine nifedipine nifedipine,atazanavir atazanavir sulfate atazanavir atazanavir and cobicistat atazanavir,1
zolpidem tartrate zolpidem tartrate zolpidem tartrate zolpidem tartrate zolpidem tartrate,tizanidine tizanidine tizanidine hydrochloride tizanidine hydrochloride tizanidine,0
olanzapine olanzapine olanzapine olanzapine olanzapine,nystatin nystatin nystatin nystatin nystatin,0
meropenem meropenem meropenem meropenem meropenem,"insulin aspart insulin aspart insulin aspart insulin aspart water injection, insulin aspart",1
pantoprazole sodium pantoprazole sodium injection pantoprazole sodium pantoprazole sodium delayed-release pantoprazole sodium dr,liothyronine sodium liothyronine sodium levothyroxine and liothyronine liothyronine sodium liothyronine sodium,1
montelukast sodium montelukast sodium montelukast sodium montelukast sodium montelukast sodium,anastrozole anastrozole anastrozole anastrozole anastrozole tablets,0
doxazosin doxazosin mesylate doxazosin mesylate doxazosin doxazosin,tizanidine tizanidine tizanidine hydrochloride tizanidine hydrochloride tizanidine,0
ampicillin sodium and sulbactam sodium ampicillin sodium ampicillin sodium ampicillin ampicillin,pantoprazole sodium pantoprazole sodium injection pantoprazole sodium pantoprazole sodium delayed-release pantoprazole sodium dr,1
clonazepam clonazepam clonazepam clonazepam clonazepam,phenobarbital phenobarbital phenobarbital phenobarbital phenobarbital,1
nebivolol nebivolol nebivolol nebivolol nebivolol,lorazepam lorazepam lorazepam lorazepam lorazepam,0
meropenem meropenem meropenem meropenem meropenem,pantoprazole sodium pantoprazole sodium injection pantoprazole sodium pantoprazole sodium delayed-release pantoprazole sodium dr,1
clotrimazole clotrimazole topical antifungal 1% clotrimazole cream clotrimazole clotrimazole/betameth,beclomethasone dipropionate hfa beclomethasone dipropionate beclomethasone dipropionate hfa beclomethasone dipropionate hfa beclomethasone dipropionate hfa,1
zafirlukast zafirlukast zafirlukast zafirlukast zafirlukast,sirolimus sirolimus sirolimus sirolimus sirolimus,0
amlodipine besylate amlodipine besylate amlodipine besylate amlodipine and benazepril hydrochloride amlodipine and olmesartan medoxomil,amiloride hydrochloride amiloride hydrochloride amiloride - apis mellifera - berberis vulgaris fruit - hieracium pilosella flowering top - hydrochlorothiazide - solidago virgaurea flowering top - spironolactone - sus scrofa pituitary gland - amiloride hydrochloride and hydrochlorothiazide amiloride hydrochloride,1
riociguat,tizanidine tizanidine tizanidine hydrochloride tizanidine hydrochloride tizanidine,0
evolocumab,tiotropium bromide and olodaterol olodaterol respimat inhalation spray,0
warfarin sodium warfarin sodium warfarin sodium warfarin sodium warfarin sodium,zafirlukast zafirlukast zafirlukast zafirlukast zafirlukast,1
liraglutide liraglutide liraglutide liraglutide liraglutide,clonazepam clonazepam clonazepam clonazepam clonazepam,0
dapagliflozin and saxagliptin saxagliptin and metformin hydrochloride saxagliptin saxagliptin saxagliptin and metformin,itraconazole itraconazole itraconazole itraconazole itraconazole,1
phenytoin sodium phenytoin phenytoin phenytoin phenytoin sodium,baclofen baclofen injection baclofen baclofen baclofen,0
amiloride hydrochloride amiloride hydrochloride amiloride - apis mellifera - berberis vulgaris fruit - hieracium pilosella flowering top - hydrochlorothiazide - solidago virgaurea flowering top - spironolactone - sus scrofa pituitary gland - amiloride hydrochloride and hydrochlorothiazide amiloride hydrochloride,granisetron hydrochloride granisetron hydrochloride granisetron granisetron hydrochloride granisetron hydrochloride,1
prazosin hydrochloride prazosin hydrochloride prazosin hcl prazosin hydrochloride prazosin hydrochloride,trazodone hydrochloride trazodone hydrochloride trazodone hydrochloride trazodone hydrochloride trazodone hydrochloride,1
famciclovir famciclovir famciclovir famciclovir famciclovir,imatinib mesylate imatinib mesylate imatinib imatinib mesylate imatinib oral,1
"diclofenac sodium diclofenac sodium diclofenac sodium diclofenac sodium topical gel, 1% diclofenac sodium",docetaxel anhydrous docetaxel docetaxel docetaxel docetaxel,0
